family,context,variant,weight,seed,split,dataset,train_folds,validation_fold,status,profile,run_id,portable_recipe_not_historical_config,historical_config,checkpoint,prediction_dir,original_result,checkpoint_bytes,prediction_files,ER20,F20,LE_CD,LR_CD,SELD_LR
EINV2,noncausal,E1,0.2,2028,evaluation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,E1_OfflineEINV2_Velocity_seed2028,configs/einv2/E1.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_E1_OfflineEINV2_Velocity_seed2028_evaluation.yaml,/work/zhanghc/Myllm/SELD/EINV2/E1_OfflineEINV2_Velocity_seed2026/out_train/ein_seld/E1_OfflineEINV2_Velocity_seed2028/checkpoints/completion_20260904_E1_seed2028_epoch_83.pth,/work/zhanghc/Myllm/SELD/EINV2/E1_OfflineEINV2_Velocity_seed2026/out_infer/ein_seld/Completion_20260904_E1_OfflineEINV2_Velocity_seed2028_evaluation/submissions,/work/zhanghc/Myllm/SELD/EINV2/E1_OfflineEINV2_Velocity_seed2026/out_eval/ein_seld/Completion_20260904_E1_OfflineEINV2_Velocity_seed2028_evaluation/results.csv,419950409,200,0.3619239073784528,0.7372251931075461,9.837159775262553,0.7986492504081936,0.22017508787576517
EINV2,noncausal,E1,0.2,2028,validation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,E1_OfflineEINV2_Velocity_seed2028,configs/einv2/E1.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_E1_OfflineEINV2_Velocity_seed2028_validation.yaml,/work/zhanghc/Myllm/SELD/EINV2/E1_OfflineEINV2_Velocity_seed2026/out_train/ein_seld/E1_OfflineEINV2_Velocity_seed2028/checkpoints/completion_20260904_E1_seed2028_epoch_83.pth,/work/zhanghc/Myllm/SELD/EINV2/E1_OfflineEINV2_Velocity_seed2026/out_infer/ein_seld/Completion_20260904_E1_OfflineEINV2_Velocity_seed2028_validation/submissions,/work/zhanghc/Myllm/SELD/EINV2/E1_OfflineEINV2_Velocity_seed2026/out_eval/ein_seld/Completion_20260904_E1_OfflineEINV2_Velocity_seed2028_validation/results.csv,419950409,100,0.42340997312630635,0.6839955440029707,9.99827892588788,0.7500744712540959,0.26122148797548755
EINV2,noncausal,E2,0.2,2026,evaluation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,E2_OfflineEINV2_JEPAConsistency_seed2026,configs/einv2/E2.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_E2_OfflineEINV2_JEPAConsistency_seed2026_evaluation.yaml,/work/zhanghc/Myllm/SELD/EINV2/E2_OfflineEINV2_JEPAConsistency_seed2026/out_train/ein_seld/E2_OfflineEINV2_JEPAConsistency_seed2026/checkpoints/rabbit02_gpu4_e2_epoch_60.pth,/work/zhanghc/Myllm/SELD/EINV2/E2_OfflineEINV2_JEPAConsistency_seed2026/out_infer/ein_seld/Completion_20260904_E2_OfflineEINV2_JEPAConsistency_seed2026_evaluation/submissions,/work/zhanghc/Myllm/SELD/EINV2/E2_OfflineEINV2_JEPAConsistency_seed2026/out_eval/ein_seld/Completion_20260904_E2_OfflineEINV2_JEPAConsistency_seed2026_evaluation/results.csv,528853120,200,0.37242200878564513,0.7170748222548246,11.271464555989432,0.7740498812351544,0.2359791382072352
EINV2,noncausal,E2,0.2,2026,validation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,E2_OfflineEINV2_JEPAConsistency_seed2026,configs/einv2/E2.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_E2_OfflineEINV2_JEPAConsistency_seed2026_validation.yaml,/work/zhanghc/Myllm/SELD/EINV2/E2_OfflineEINV2_JEPAConsistency_seed2026/out_train/ein_seld/E2_OfflineEINV2_JEPAConsistency_seed2026/checkpoints/rabbit02_gpu4_e2_epoch_60.pth,/work/zhanghc/Myllm/SELD/EINV2/E2_OfflineEINV2_JEPAConsistency_seed2026/out_infer/ein_seld/Completion_20260904_E2_OfflineEINV2_JEPAConsistency_seed2026_validation/submissions,/work/zhanghc/Myllm/SELD/EINV2/E2_OfflineEINV2_JEPAConsistency_seed2026/out_eval/ein_seld/Completion_20260904_E2_OfflineEINV2_JEPAConsistency_seed2026_validation/results.csv,528853120,100,0.4117647058823529,0.6929075380616413,10.752086618697781,0.757034390352836,0.25538914800404916
EINV2,noncausal,E2,0.2,2027,evaluation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,E2_OfflineEINV2_JEPAConsistency_seed2027,configs/einv2/E2.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_E2_OfflineEINV2_JEPAConsistency_seed2027_evaluation.yaml,/work/zhanghc/Myllm/SELD/EINV2/E2_OfflineEINV2_JEPAConsistency_seed2026/out_train/ein_seld/E2_OfflineEINV2_JEPAConsistency_seed2027/checkpoints/completion_20260904_E2_seed2027_epoch_90.pth,/work/zhanghc/Myllm/SELD/EINV2/E2_OfflineEINV2_JEPAConsistency_seed2026/out_infer/ein_seld/Completion_20260904_E2_OfflineEINV2_JEPAConsistency_seed2027_evaluation/submissions,/work/zhanghc/Myllm/SELD/EINV2/E2_OfflineEINV2_JEPAConsistency_seed2026/out_eval/ein_seld/Completion_20260904_E2_OfflineEINV2_JEPAConsistency_seed2027_evaluation/results.csv,528869774,200,0.37175191720646267,0.7176199992458806,10.70759966436347,0.7750315445706227,0.23464675954799463
EINV2,noncausal,E2,0.2,2027,validation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,E2_OfflineEINV2_JEPAConsistency_seed2027,configs/einv2/E2.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_E2_OfflineEINV2_JEPAConsistency_seed2027_validation.yaml,/work/zhanghc/Myllm/SELD/EINV2/E2_OfflineEINV2_JEPAConsistency_seed2026/out_train/ein_seld/E2_OfflineEINV2_JEPAConsistency_seed2027/checkpoints/completion_20260904_E2_seed2027_epoch_90.pth,/work/zhanghc/Myllm/SELD/EINV2/E2_OfflineEINV2_JEPAConsistency_seed2026/out_infer/ein_seld/Completion_20260904_E2_OfflineEINV2_JEPAConsistency_seed2027_validation/submissions,/work/zhanghc/Myllm/SELD/EINV2/E2_OfflineEINV2_JEPAConsistency_seed2026/out_eval/ein_seld/Completion_20260904_E2_OfflineEINV2_JEPAConsistency_seed2027_validation/results.csv,528869774,100,0.43445804717826214,0.6805792796138136,10.378993192976107,0.7456845238095238,0.2664638292623091
EINV2,noncausal,E2,0.2,2028,evaluation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,E2_OfflineEINV2_JEPAConsistency_seed2028,configs/einv2/E2.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_E2_OfflineEINV2_JEPAConsistency_seed2028_evaluation.yaml,/work/zhanghc/Myllm/SELD/EINV2/E2_OfflineEINV2_JEPAConsistency_seed2026/out_train/ein_seld/E2_OfflineEINV2_JEPAConsistency_seed2028/checkpoints/completion_20260904_E2_seed2028_epoch_85.pth,/work/zhanghc/Myllm/SELD/EINV2/E2_OfflineEINV2_JEPAConsistency_seed2026/out_infer/ein_seld/Completion_20260904_E2_OfflineEINV2_JEPAConsistency_seed2028_evaluation/submissions,/work/zhanghc/Myllm/SELD/EINV2/E2_OfflineEINV2_JEPAConsistency_seed2026/out_eval/ein_seld/Completion_20260904_E2_OfflineEINV2_JEPAConsistency_seed2028_evaluation/results.csv,528869710,200,0.39863003499367133,0.6941634824305087,13.097819448354686,0.7878585723815877,0.24734341094588633
EINV2,noncausal,E2,0.2,2028,validation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,E2_OfflineEINV2_JEPAConsistency_seed2028,configs/einv2/E2.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_E2_OfflineEINV2_JEPAConsistency_seed2028_validation.yaml,/work/zhanghc/Myllm/SELD/EINV2/E2_OfflineEINV2_JEPAConsistency_seed2026/out_train/ein_seld/E2_OfflineEINV2_JEPAConsistency_seed2028/checkpoints/completion_20260904_E2_seed2028_epoch_85.pth,/work/zhanghc/Myllm/SELD/EINV2/E2_OfflineEINV2_JEPAConsistency_seed2026/out_infer/ein_seld/Completion_20260904_E2_OfflineEINV2_JEPAConsistency_seed2028_validation/submissions,/work/zhanghc/Myllm/SELD/EINV2/E2_OfflineEINV2_JEPAConsistency_seed2026/out_eval/ein_seld/Completion_20260904_E2_OfflineEINV2_JEPAConsistency_seed2028_validation/results.csv,528869710,100,0.4674529710361302,0.6447796509908311,12.787835602162112,0.7484014869888476,0.2863288410448936
EINV2,noncausal,E3,0.2,2026,evaluation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,E3_OfflineEINV2_Velocity_JEPAConsistency_seed2026,configs/einv2/E3.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_E3_OfflineEINV2_Velocity_JEPAConsistency_seed2026_evaluation.yaml,/work/zhanghc/Myllm/SELD/EINV2/E3_OfflineEINV2_Velocity_JEPAConsistency_seed2026/out_train/ein_seld/E3_OfflineEINV2_Velocity_JEPAConsistency_seed2026/checkpoints/rabbit02_gpu4_e3_epoch_88.pth,/work/zhanghc/Myllm/SELD/EINV2/E3_OfflineEINV2_Velocity_JEPAConsistency_seed2026/out_infer/ein_seld/Completion_20260904_E3_OfflineEINV2_Velocity_JEPAConsistency_seed2026_evaluation/submissions,/work/zhanghc/Myllm/SELD/EINV2/E3_OfflineEINV2_Velocity_JEPAConsistency_seed2026/out_eval/ein_seld/Completion_20260904_E3_OfflineEINV2_Velocity_JEPAConsistency_seed2026_evaluation/results.csv,528922328,200,0.37569801206164843,0.7219555753990401,9.970757343046328,0.7769442174849588,0.23304782888197673
EINV2,noncausal,E3,0.2,2026,validation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,E3_OfflineEINV2_Velocity_JEPAConsistency_seed2026,configs/einv2/E3.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_E3_OfflineEINV2_Velocity_JEPAConsistency_seed2026_validation.yaml,/work/zhanghc/Myllm/SELD/EINV2/E3_OfflineEINV2_Velocity_JEPAConsistency_seed2026/out_train/ein_seld/E3_OfflineEINV2_Velocity_JEPAConsistency_seed2026/checkpoints/rabbit02_gpu4_e3_epoch_88.pth,/work/zhanghc/Myllm/SELD/EINV2/E3_OfflineEINV2_Velocity_JEPAConsistency_seed2026/out_infer/ein_seld/Completion_20260904_E3_OfflineEINV2_Velocity_JEPAConsistency_seed2026_validation/submissions,/work/zhanghc/Myllm/SELD/EINV2/E3_OfflineEINV2_Velocity_JEPAConsistency_seed2026/out_eval/ein_seld/Completion_20260904_E3_OfflineEINV2_Velocity_JEPAConsistency_seed2026_validation/results.csv,528922328,100,0.43684681994625263,0.6769413159454654,9.06343423120656,0.7295204051236223,0.27018437781818927
