family,context,variant,seed,evidence_level,motion_group,prediction_files,prediction_rows,unmatched_predictions_global,references,matched_recall_micro,recall_at_threshold_micro,mean_localization_error_deg_micro,median_localization_error_deg_micro,p90_localization_error_deg_micro,matched_recall_macro_class,recall_at_threshold_macro_class,mean_localization_error_deg_macro_class,prediction_dir,split,source
Multi-ACCDOA,noncausal,A3_lambda005,2026,completion_three_seed,static,100.0,45147.0,13779.0,31428.0,0.5370052182766959,0.44412625684103346,14.504340723300915,10.61472266119534,25.13563269893899,0.4644769354585574,0.3800040039500103,14.87181631816637,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_supplemental_v2_A3_lambda005_seed2026_validation_seed2026_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,noncausal,A3_lambda005,2026,completion_three_seed,dynamic,100.0,45147.0,13779.0,26274.0,0.551533835731141,0.45364238410596025,13.856237626924534,11.225688033448241,25.335627424945272,0.5486097159360932,0.4501158613750543,14.769171701335242,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_supplemental_v2_A3_lambda005_seed2026_validation_seed2026_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,causal,C1_lambda005,2028,completion_three_seed,static,100.0,41303.0,13992.0,31428.0,0.4585083365152094,0.3701158202876416,14.972433138753022,11.07783043082453,29.49251434245205,0.379405608174947,0.3086323746553249,14.557558483802426,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_promoted_v2_C1_lambda005_seed2028_validation_seed2028_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,causal,C1_lambda005,2028,completion_three_seed,dynamic,100.0,41303.0,13992.0,26274.0,0.4910177361650301,0.3838395371850499,15.010550125909168,12.564331407911391,27.000771799843235,0.45613216466015893,0.3506005223809642,16.323580788297548,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_promoted_v2_C1_lambda005_seed2028_validation_seed2028_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,causal,C1_lambda005,2027,completion_three_seed,static,100.0,39771.0,12734.0,31428.0,0.45201730940562557,0.3723113147511773,14.501748881192375,11.46264659050033,25.084817925635875,0.36967595370785616,0.3041074844226959,14.293318288737668,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_promoted_v2_C1_lambda005_seed2027_validation_seed2027_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,causal,C1_lambda005,2027,completion_three_seed,dynamic,100.0,39771.0,12734.0,26274.0,0.48835350536652206,0.3911090812209789,14.415152697536234,11.848764405097866,25.695417744141167,0.4530895328749189,0.3477179996805765,16.66553248926941,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_promoted_v2_C1_lambda005_seed2027_validation_seed2027_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,noncausal,A0,2027,completion_three_seed,static,100.0,46939.0,13264.0,31428.0,0.569778541428026,0.4680857833778796,13.575830505895556,10.30097131306813,24.54584415801897,0.49339049693496173,0.4086743009058862,13.667241314504796,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_paper_v1_A0_seed2027_validation_seed2027_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,noncausal,A0,2027,completion_three_seed,dynamic,100.0,46939.0,13264.0,26274.0,0.6001370175839232,0.4755651975336835,14.923344547527762,11.893587845860303,27.598954566488498,0.578358236532378,0.4505319170247674,16.060853624085194,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_paper_v1_A0_seed2027_validation_seed2027_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,noncausal,A0,2028,completion_three_seed,static,100.0,46643.0,13747.0,31428.0,0.5637966144838997,0.4614992999872725,14.25401645627592,11.106707459963342,26.254498846400747,0.5235156114708766,0.42233664715550157,14.517661471429864,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_paper_v1_A0_seed2028_validation_seed2028_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,noncausal,A0,2028,completion_three_seed,dynamic,100.0,46643.0,13747.0,26274.0,0.5776432975565198,0.45421329070564054,15.116286351852223,11.879550986465667,28.266433518283872,0.5786941222679142,0.4578133245976529,15.167543963715051,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_paper_v1_A0_seed2028_validation_seed2028_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
