run_id,variant,seed,lambda_velocity,lambda_jepa,split,status,manifest_path,metric_protocol,ER,F,LE,LR,SELD
paper_v1_C1_seed2026,C1,2026,0.2,0.2,evaluation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/40_paper_v1_C1_seed2026_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.6148476204774058,0.4812894864733517,14.901363795740332,0.5398818868206623,0.4191154004010429
pilot_v2_C1_lambda002_seed2026,C1,2026,0.02,0.0,validation,validation_completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/40_pilot_v2_C1_lambda002_seed2026_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.6342301943198804,0.46669345118521494,15.713287086957601,0.5394599433089662,0.4288432097994215
paper_v1_A1_seed2026,A1,2026,0.2,0.2,validation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/50_paper_v1_A1_seed2026_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.5630792227204783,0.5168392726086602,14.737312671669725,0.5844272076372315,0.3859216754404101
paper_v1_A1_seed2026,A1,2026,0.2,0.2,evaluation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/50_paper_v1_A1_seed2026_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.5412100285242456,0.5344465956760245,14.765731324759079,0.6121945752073527,0.36915017458349364
promoted_v2_C2_lambda005_seed2028,C2,2028,0.0,0.05,validation,validation_completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/41_promoted_v2_C2_lambda005_seed2028_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.6260089686098654,0.480705097665555,15.016070975995852,0.5473668506638818,0.4203399092034347
paper_v1_A3_seed2028,A3,2028,0.2,0.2,validation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/52_paper_v1_A3_seed2028_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.600896860986547,0.47395612772084356,15.517800462610092,0.544490892803822,0.41716496075798437
paper_v1_A3_seed2028,A3,2028,0.2,0.2,evaluation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/52_paper_v1_A3_seed2028_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.5594505329530101,0.5140613123891563,14.826379523883219,0.5600657845555804,0.3919230527852394
C2_smoke_seed2026_strictcausal_v1,C2,2026,0.2,0.2,validation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/44_C2_smoke_seed2026_strictcausal_v1_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,1.0,0.0,180,0.0,1.0
C2_smoke_seed2026_strictcausal_v1,C2,2026,0.2,0.2,evaluation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/44_C2_smoke_seed2026_strictcausal_v1_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,1.0,0.0,180,0.0,1.0
pilot_v2_C2_lambda002_seed2026,C2,2026,0.0,0.02,validation,validation_completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/41_pilot_v2_C2_lambda002_seed2026_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.6282511210762332,0.4738942998562989,15.856180719039818,0.5590034312994182,0.4208608207010176
paper_v1_C2_seed2026,C2,2026,0.2,0.2,validation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/41_paper_v1_C2_seed2026_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.6458893871449926,0.4508943089430894,16.70491139035372,0.5379794060587972,0.4374551838557122
paper_v1_C2_seed2026,C2,2026,0.2,0.2,evaluation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/41_paper_v1_C2_seed2026_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.6154481309112746,0.4816053511705686,15.479448753537696,0.5419190786029466,0.4194801596643533
paper_v1_C2_seed2027,C2,2027,0.2,0.2,validation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/41_paper_v1_C2_seed2027_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.6430493273542601,0.44788525792518946,16.994803827814046,0.537061894108874,0.43812943803534643
paper_v1_C2_seed2027,C2,2027,0.2,0.2,evaluation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/41_paper_v1_C2_seed2027_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.635189911424711,0.460322633208408,15.401051883735276,0.5328799880436407,0.43188717238168683
paper_v1_C3_seed2026,C3,2026,0.2,0.2,validation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/42_paper_v1_C3_seed2026_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.6536621823617339,0.43818930041152265,16.451790275208115,0.5208955223880597,0.44649404860610475
