family,context,variant,weight,split,profile,n,seeds,ER20_mean,ER20_sample_sd,F20_mean,F20_sample_sd,LE_CD_mean,LE_CD_sample_sd,LF_CD_mean,LF_CD_sample_sd,SELD_LF_mean,SELD_LF_sample_sd,LR_CD_mean,LR_CD_sample_sd,SELD_LR_mean,SELD_LR_sample_sd
EINV2,causal,C0.1,0,evaluation,dcase2020_source,3,"2026,2027,2028",0.5881951293528563,0.0393604565080406,0.5877614448958339,0.0168724816270995,13.628006131654388,1.0640932616695464,0.6751502613262863,0.02404526980308939,0.35024864207664846,0.018959431644116988,,,,
EINV2,causal,C0.1,0,evaluation,dcase2020_web_lr,3,"2026,2027,2028",0.5881951293528563,0.0393604565080406,0.5877614448958339,0.0168724816270995,13.628006131654388,1.0640932616695464,,,,,0.7160306501782869,0.007311998967630393,0.3400285448636483,0.014761382773473233
EINV2,causal,C0.1,0,evaluation,dcase2023_macro,3,"2026,2027,2028",0.6334847243938153,0.04603935201571446,0.5774523530427562,0.014793332102255922,12.556631391661485,1.0058670058864976,,,,,0.6897851274344245,0.009448305168959498,0.3590015768009107,0.01606638377166
EINV2,causal,C0.1,0,evaluation,dcase2023_micro,3,"2026,2027,2028",0.6334847243938153,0.04603935201571446,0.5753803183823026,0.017886840839501424,13.596095754052907,1.089400438122326,,,,,0.7088382833317113,0.005673382653121105,0.35619999699502386,0.01658656728329337
EINV2,causal,C0.1,0,validation,dcase2020_source,3,"2026,2027,2028",0.5975962269891982,0.025652661791686716,0.5609046646899545,0.02057313999598679,14.742234779722452,2.2663740775568133,0.6608683814906268,0.014877434557779332,0.36443112128510213,0.013536833746889472,,,,
EINV2,causal,C0.1,0,validation,dcase2020_web_lr,3,"2026,2027,2028",0.5975962269891982,0.025652661791686716,0.5609046646899545,0.02057313999598679,14.742234779722452,2.2663740775568133,,,,,0.6936964349104924,0.006708442915690585,0.35622410793013576,0.011511509839946704
EINV2,causal,C0.1,0,validation,dcase2023_macro,3,"2026,2027,2028",0.6483527421120733,0.03564364630369805,0.5293404176038755,0.01918498376679155,13.978566180917316,2.2570278457815265,,,,,0.6701990723887749,0.012921018144081616,0.38161798828112975,0.01148978845925848
EINV2,causal,C0.1,0,validation,dcase2023_micro,3,"2026,2027,2028",0.6483527421120733,0.03564364630369805,0.5463592012014793,0.019831945466929676,14.743017461006675,2.2509468887702955,,,,,0.6835834692887628,0.00676809935659381,0.3750789310457448,0.013440404637603924
EINV2,causal,C1,0.2,evaluation,dcase2020_source,3,"2026,2027,2028",0.622107579091116,0.03821615269410734,0.5688260903660889,0.006166167983628791,14.523471010741332,1.4480382087146226,0.6580137152213783,0.024734363060349283,0.3689884308908307,0.01489169032068276,,,,
EINV2,causal,C1,0.2,evaluation,dcase2020_web_lr,3,"2026,2027,2028",0.622107579091116,0.03821615269410734,0.5688260903660889,0.006166167983628791,14.523471010741332,1.4480382087146226,,,,,0.7053840123409959,0.01706856383555159,0.3571458566109263,0.011816222545210309
